timestep,displacement_am,amplitude_am,frequency_rHz
1,-0.921198,0.088215,0.000000
2,-0.891777,0.127241,0.000000
3,-0.796455,0.154858,0.000000
4,-0.642615,0.173449,0.000000
5,-0.441954,0.184155,0.000000
6,-0.209613,0.188487,0.000000
7,0.037029,0.188710,0.000000
8,0.279644,0.187801,0.003443
9,0.500265,0.188940,0.003443
10,0.682621,0.194535,0.003443
11,0.813454,0.205244,0.003443
12,0.883332,0.219821,0.003443
13,0.887387,0.235883,0.003443
14,0.825677,0.250916,0.003443
15,0.703131,0.262957,0.003443
16,0.529151,0.270923,0.003443
17,0.316921,0.274709,0.003443
18,0.082339,0.275163,0.003443
19,-0.157048,0.273908,0.003443
20,-0.383502,0.272987,0.003443
21,-0.580304,0.274313,0.003443
22,-0.733051,0.279038,0.003443
23,-0.830657,0.287154,0.003443
24,-0.866181,0.297545,0.003443
25,-0.837333,0.308464,0.003443
26,-0.746640,0.318135,0.003443
27,-0.601134,0.325227,0.003443
28,-0.411880,0.329133,0.003443
29,-0.193223,0.330063,0.003443
30,0.038555,0.328977,0.003443
31,0.266186,0.327350,0.004147
32,0.472796,0.326795,0.004147
33,0.643196,0.328577,0.004147
34,0.765034,0.333197,0.004147
35,0.829486,0.340239,0.004147
36,0.832114,0.348548,0.004147
37,0.773126,0.356644,0.004147
38,0.657192,0.363180,0.004147
39,0.493248,0.367287,0.004147
40,0.293705,0.368760,0.004147
41,0.073573,0.368085,0.004147
42,-0.150736,0.366314,0.004147
43,-0.362573,0.364789,0.004147
44,-0.546312,0.364767,0.004147
45,-0.688526,0.367028,0.004147
46,-0.778916,0.371622,0.004147
47,-0.811058,0.377874,0.004147
48,-0.782952,0.384629,0.004147
49,-0.697020,0.390628,0.004147
50,-0.560008,0.394870,0.004147
51,-0.382290,0.396862,0.004147
52,-0.177321,0.396719,0.004147
53,0.039515,0.395128,0.004147
54,0.252148,0.393167,0.004780
55,0.444819,0.392008,0.004780
56,0.603364,0.392572,0.004780
57,0.716311,0.395237,0.004780
58,0.775460,0.399726,0.004780
59,0.776869,0.405212,0.004780
60,0.720703,0.410597,0.004780
61,0.611519,0.414847,0.004780
62,0.457748,0.417273,0.004780
63,0.270990,0.417697,0.004780
64,0.065355,0.416486,0.004780
65,-0.143879,0.414449,0.004780
66,-0.341107,0.412623,0.004780
67,-0.511867,0.411969,0.004780
68,-0.643639,0.413088,0.004780
69,-0.726937,0.416026,0.004780
70,-0.755864,0.420275,0.004780
71,-0.728633,0.424945,0.004780
72,-0.647639,0.429047,0.004780
73,-0.519205,0.431782,0.004780
74,-0.353118,0.432743,0.004780
75,-0.161985,0.432020,0.004780
76,0.039932,0.430159,0.004780
77,0.237576,0.428022,0.005350
78,0.416343,0.426538,0.005350
79,0.563131,0.426438,0.005350
80,0.667258,0.428021,0.005350
81,0.721299,0.431071,0.005350
82,0.721591,0.434933,0.005350
83,0.668438,0.438727,0.005350
84,0.566146,0.441616,0.005350
85,0.422624,0.443035,0.005350
86,0.248775,0.442836,0.005350
87,0.057674,0.441318,0.005350
88,-0.136443,0.439143,0.005350
89,-0.319129,0.437155,0.005350
90,-0.476954,0.436133,0.005350
91,-0.598404,0.436560,0.005350
92,-0.674736,0.438474,0.005350
93,-0.700585,0.441463,0.005350
94,-0.674399,0.444802,0.005350
95,-0.598454,0.447681,0.005350
96,-0.478757,0.449440,0.005350
97,-0.324425,0.449742,0.005350
98,-0.147137,0.448662,0.005350
99,0.039768,0.446656,0.005350
100,0.222449,0.444435,0.005863
101,0.387377,0.442766,0.005863
102,0.522464,0.442247,0.005863
103,0.617930,0.443121,0.005863
104,0.666964,0.445209,0.005863
105,0.666295,0.447970,0.005863
106,0.616304,0.450677,0.005863
107,0.521070,0.452633,0.005863
108,0.387932,0.453369,0.005863
109,0.227053,0.452761,0.005863
110,0.050530,0.451064,0.005863
111,-0.128441,0.448831,0.005863
112,-0.296613,0.446766,0.005863
113,-0.441574,0.445515,0.005863
114,-0.552803,0.445476,0.005863
115,-0.622320,0.446677,0.005863
116,-0.645227,0.448774,0.005863
117,-0.620233,0.451162,0.005863
118,-0.549538,0.453165,0.005863
119,-0.438706,0.454230,0.005863
120,-0.296285,0.454077,0.005863
121,-0.133046,0.452772,0.005863
122,0.038726,0.450699,0.005863
123,0.206185,0.448456,0.006324
124,0.356944,0.446684,0.006324
125,0.479933,0.445876,0.006324
126,0.566211,0.446230,0.006324
127,0.609688,0.447589,0.006324
128,0.607666,0.449499,0.006324
129,0.561001,0.451355,0.006324
130,0.474089,0.452583,0.006324
131,0.354590,0.452803,0.006324
132,0.212829,0.451927,0.006324
133,0.060700,0.450165,0.006324
134,-0.089567,0.447950,0.006324
135,-0.226852,0.445794,0.006324
136,-0.342876,0.444139,0.006324
137,-0.433180,0.443241,0.006324
138,-0.497836,0.443142,0.006324
139,-0.540862,0.443722,0.006324
140,-0.568050,0.444798,0.006324
141,-0.584034,0.446200,0.006324
142,-0.588292,0.447788,0.006324
143,-0.572424,0.449410,0.006324
144,-0.519452,0.450807,0.006324
145,-0.406990,0.451545,0.006324
146,-0.214605,0.451121,0.006324
147,0.066239,0.449373,0.006324
148,0.422143,0.447169,0.006656
149,0.812731,0.446926,0.006656
150,1.173561,0.452052,0.006656
151,1.429524,0.464844,0.006656
152,1.515277,0.484101,0.006656
153,1.397297,0.504947,0.006656
154,1.087919,0.521484,0.006656
155,0.644714,0.530153,0.006656
156,0.152902,0.531421,0.006656
157,-0.303569,0.528978,0.006656
158,-0.670355,0.527201,0.006656
159,-0.937312,0.528825,0.006656
160,-1.131612,0.534457,0.006656
161,-1.291905,0.543685,0.006656
162,-1.436726,0.556172,0.006656
163,-1.545082,0.571731,0.006656
164,-1.561556,0.589475,0.006656
165,-1.425186,0.606951,0.006656
166,-1.107201,0.620498,0.006656
167,-0.635304,0.627237,0.006656
168,-0.088811,0.627318,0.006656
169,0.434822,0.624237,0.006656
170,0.863424,0.622628,0.007086
171,1.177329,0.625495,0.007086
172,1.403693,0.633398,0.007086
173,1.581537,0.645666,0.007086
174,1.721586,0.661610,0.007086
175,1.788824,0.680433,0.007086
176,1.721803,0.700256,0.007086
177,1.475949,0.717705,0.007086
178,1.061685,0.729201,0.007086
179,0.548654,0.733273,0.007086
180,0.031683,0.731657,0.007086
181,-0.418533,0.727996,0.007086
182,-0.785548,0.725555,0.007086
183,-1.096324,0.726180,0.007086
184,-1.378881,0.730810,0.007086
185,-1.622009,0.740105,0.007086
186,-1.769756,0.754047,0.007086
187,-1.756596,0.770858,0.007086
188,-1.556685,0.786852,0.007086
189,-1.208588,0.798234,0.007086
190,-0.794541,0.803375,0.007086
191,-0.389924,0.803288,0.007086
192,-0.022617,0.800212,0.007086
193,0.326448,0.796204,0.007086
194,0.683616,0.792885,0.007382
195,1.038668,0.791867,0.007382
196,1.335492,0.794715,0.007382
197,1.506199,0.801930,0.007382
198,1.519502,0.812001,0.007382
199,1.401725,0.822096,0.007382
200,1.211977,0.829899,0.007382
201,0.993079,0.834586,0.007382
202,0.742090,0.836319,0.007382
203,0.426881,0.835430,0.007382
204,0.032858,0.832337,0.007382
205,-0.403105,0.828172,0.007382
206,-0.804432,0.825006,0.007382
207,-1.103060,0.824803,0.007382
208,-1.281378,0.828048,0.007382
209,-1.370298,0.833803,0.007382
210,-1.407238,0.840864,0.007382
211,-1.393984,0.848401,0.007382
212,-1.294251,0.855581,0.007382
213,-1.072428,0.861074,0.007382
214,-0.735990,0.863444,0.007382
215,-0.341099,0.862263,0.007382
216,0.043054,0.858618,0.007382
217,0.377792,0.854325,0.007691
218,0.667692,0.850882,0.007691
219,0.933842,0.849246,0.007691
220,1.174923,0.850134,0.007691
221,1.353046,0.853993,0.007691
222,1.417446,0.860418,0.007691
223,1.344609,0.867760,0.007691
224,1.159464,0.873817,0.007691
225,0.917051,0.877134,0.007691
226,0.659936,0.877542,0.007691
227,0.389756,0.875634,0.007691
228,0.081769,0.872116,0.007691
229,-0.269289,0.867783,0.007691
230,-0.619387,0.863853,0.007691
231,-0.896676,0.861752,0.007691
232,-1.056845,0.862108,0.007691
233,-1.115200,0.864273,0.007691
234,-1.119058,0.867141,0.007691
235,-1.090212,0.870022,0.007691
236,-1.001307,0.872499,0.007691
237,-0.812495,0.873881,0.007691
238,-0.526243,0.873288,0.007691
239,-0.198405,0.870503,0.007691
240,0.105018,0.866367,0.007691
241,0.356422,0.862088,0.007926
242,0.571642,0.858507,0.007926
243,0.771540,0.856114,0.007926
244,0.944673,0.855310,0.007926
245,1.048219,0.856250,0.007926
246,1.044128,0.858382,0.007926
247,0.933856,0.860438,0.007926
248,0.758189,0.861203,0.007926
249,0.561648,0.860234,0.007926
250,0.357217,0.857763,0.007926
251,0.128049,0.854211,0.007926
252,-0.136003,0.850025,0.007926
253,-0.407991,0.845874,0.007926
254,-0.634910,0.842622,0.007926
255,-0.777942,0.840799,0.007926
256,-0.838525,0.840194,0.007926
257,-0.844761,0.840177,0.007926
258,-0.815654,0.840223,0.007926
259,-0.741364,0.839981,0.007926
260,-0.598175,0.839052,0.007926
261,-0.381581,0.836987,0.007926
262,-0.123879,0.833665,0.007926
263,0.123518,0.829579,0.007926
264,0.328226,0.825513,0.008182
265,0.495331,0.822030,0.008182
266,0.644593,0.819408,0.008182
267,0.772399,0.817845,0.008182
268,0.843232,0.817403,0.008182
269,0.822320,0.817665,0.008182
270,0.711737,0.817712,0.008182
271,0.549183,0.816720,0.008182
272,0.372312,0.814480,0.008182
273,0.188302,0.811252,0.008182
274,-0.019457,0.807406,0.008182
275,-0.256365,0.803361,0.008182
276,-0.492451,0.799745,0.008182
277,-0.677806,0.797258,0.008182
278,-0.783106,0.796153,0.008182
279,-0.820348,0.796023,0.008182
280,-0.818850,0.796270,0.008182
281,-0.785480,0.796499,0.008182
282,-0.696691,0.796390,0.008182
283,-0.531231,0.795455,0.008182
284,-0.303436,0.793248,0.008182
285,-0.058164,0.789855,0.008182
286,0.165224,0.785917,0.008182
287,0.359734,0.782152,0.008411
288,0.540227,0.779063,0.008411
289,0.709563,0.777038,0.008411
290,0.840180,0.776392,0.008411
291,0.894225,0.777056,0.008411
292,0.859903,0.778315,0.008411
293,0.761539,0.779173,0.008411
294,0.631704,0.778999,0.008411
295,0.479244,0.777664,0.008411
296,0.290645,0.775249,0.008411
297,0.060412,0.771910,0.008411
298,-0.187609,0.768064,0.008411
299,-0.411546,0.764445,0.008411
300,-0.582514,0.761726,0.008411
301,-0.701207,0.760143,0.008411
302,-0.783297,0.759576,0.008411
303,-0.830984,0.759817,0.008411
304,-0.824228,0.760561,0.008411
305,-0.742930,0.761224,0.008411
306,-0.593538,0.761044,0.008411
307,-0.407589,0.759551,0.008411
308,-0.215074,0.756842,0.008411
309,-0.023888,0.753356,0.008411
310,0.172381,0.749583,0.008411
311,0.370890,0.746025,0.008575
312,0.547616,0.743212,0.008575
313,0.670804,0.741511,0.008575
314,0.725923,0.740837,0.008575
315,0.724141,0.740690,0.008575
316,0.684608,0.740526,0.008575
317,0.611438,0.739988,0.008575
318,0.493316,0.738813,0.008575
319,0.325283,0.736763,0.008575
320,0.125556,0.733791,0.008575
321,-0.073220,0.730221,0.008575
322,-0.246875,0.726598,0.008575
323,-0.392290,0.723377,0.008575
324,-0.516510,0.720819,0.008575
325,-0.616083,0.719064,0.008575
326,-0.670736,0.718107,0.008575
327,-0.660855,0.717649,0.008575
328,-0.588431,0.717103,0.008575
329,-0.475945,0.715931,0.008575
330,-0.344332,0.713930,0.008575
331,-0.197178,0.711186,0.008575
332,-0.028444,0.707896,0.008575
333,0.156797,0.704353,0.008575
334,0.334325,0.700998,0.008765
335,0.475056,0.698285,0.008765
336,0.566436,0.696407,0.008765
337,0.616477,0.695227,0.008765
338,0.635933,0.694484,0.008765
339,0.619948,0.693923,0.008765
340,0.553094,0.693222,0.008765
341,0.431187,0.691962,0.008765
342,0.272652,0.689842,0.008765
343,0.105187,0.686925,0.008765
344,-0.055588,0.683563,0.008765
345,-0.211281,0.680159,0.008765
346,-0.364798,0.677080,0.008765
347,-0.503396,0.674673,0.008765
348,-0.601759,0.673176,0.008765
349,-0.643125,0.672499,0.008765
350,-0.632950,0.672212,0.008765
351,-0.588597,0.671831,0.008765
352,-0.517763,0.671049,0.008765
353,-0.413184,0.669690,0.008765
354,-0.269182,0.667613,0.008765
355,-0.098072,0.664812,0.008765
356,0.073314,0.661552,0.008765
357,0.223406,0.658277,0.008936
358,0.348918,0.655358,0.008936
359,0.456314,0.653006,0.008936
360,0.542661,0.651333,0.008936
361,0.590539,0.650336,0.008936
362,0.584270,0.649766,0.008936
363,0.527040,0.649143,0.008936
364,0.437516,0.648036,0.008936
365,0.330805,0.646271,0.008936
366,0.207720,0.643881,0.008936
367,0.063879,0.640991,0.008936
368,-0.093546,0.637810,0.008936
369,-0.242532,0.634682,0.008936
370,-0.361248,0.631966,0.008936
371,-0.443665,0.629835,0.008936
372,-0.497306,0.628246,0.008936
373,-0.525843,0.627072,0.008936
374,-0.520416,0.626141,0.008936
375,-0.469733,0.625172,0.008936
376,-0.376211,0.623810,0.008936
377,-0.257057,0.621822,0.008936
378,-0.130355,0.619239,0.008936
379,-0.002557,0.616273,0.008936
380,0.128343,0.613183,0.008936
381,0.258545,0.610245,0.009047
382,0.371806,0.607736,0.009047
383,0.449562,0.605832,0.009047
384,0.485839,0.604469,0.009047
385,0.487657,0.603398,0.009047
386,0.462437,0.602351,0.009047
387,0.408457,0.601113,0.009047
388,0.320127,0.599493,0.009047
389,0.200357,0.597347,0.009047
390,0.064400,0.594690,0.009047
391,-0.069329,0.591744,0.009047
392,-0.191375,0.588819,0.009047
393,-0.301166,0.586180,0.009047
394,-0.396451,0.584019,0.009047
